name,lon,lat,region,SDC_vs30_530,s1_vs30_530,sds_vs30_530,sd1_vs30_530,Sdsfr_vs30_530_beta_0p5,Sd1fr_vs30_530_beta_0p5,Sdsfr_vs30_530_beta_0p6,Sd1fr_vs30_530_beta_0p6,Sdsfr_vs30_530_beta_0p7,Sd1fr_vs30_530_beta_0p7,Sdsfr_vs30_530_beta_1p0,Sd1fr_vs30_530_beta_1p0,SDC_vs30_760,s1_vs30_760,sds_vs30_760,sd1_vs30_760,Sdsfr_vs30_760_beta_0p5,Sd1fr_vs30_760_beta_0p5,Sdsfr_vs30_760_beta_0p6,Sd1fr_vs30_760_beta_0p6,Sdsfr_vs30_760_beta_0p7,Sd1fr_vs30_760_beta_0p7,Sdsfr_vs30_760_beta_1p0,Sd1fr_vs30_760_beta_1p0,SDC_vs30_265,s1_vs30_265,sds_vs30_265,sd1_vs30_265,Sdsfr_vs30_265_beta_0p5,Sd1fr_vs30_265_beta_0p5,Sdsfr_vs30_265_beta_0p6,Sd1fr_vs30_265_beta_0p6,Sdsfr_vs30_265_beta_0p7,Sd1fr_vs30_265_beta_0p7,Sdsfr_vs30_265_beta_1p0,Sd1fr_vs30_265_beta_1p0
San Diego CA,-117.15,32.7,so cal,D,0.53,1.19,0.5,0.555115408277447,0.217199096396213,0.55475281997332,0.219512203393604,0.56277630985629,0.225350465021282,0.643637680286774,0.266874774955839,D,0.53,1.04,0.35,0.464186564772414,0.150547118038856,0.462371919676162,0.152027350353521,0.46740935133656,0.156053134652111,0.528529790279366,0.184395252253376,D,0.53,1.12,0.82,0.653525091371425,0.388503392963961,0.664999477519187,0.394694434558608,0.68819561682097,0.407494159990828,0.83893079631863,0.490990423127512
San Francisco CA,-122.4,37.75,nor cal,D,0.6,1.12,0.57,0.953080453726261,0.394965686494479,0.980437582863117,0.401577483933011,1.02254256717476,0.413879415691992,1.24553480291755,0.487950925889999,D,0.6,0.94,0.4,0.799785568690374,0.273964670167938,0.820600955922436,0.27850893605495,0.853534743306358,0.286948076123149,1.0311472255302,0.337931124867679,D,0.6,1.16,1.17,1.08149015077503,0.685287749147866,1.12499027587498,0.699767530699903,1.187135510215,0.724559276099762,1.49975896387561,0.86731064631881
San Jose CA,-121.9,37.35,nor cal,D,0.61,1.03,0.57,1.23904968264641,0.539946649020491,1.28695490046393,0.553675021718417,1.35507059188423,0.575290156607827,1.69536342155553,0.692092869049801,D,0.61,0.9,0.4,1.04985513297404,0.40081266302948,1.08769379468233,0.410740209791472,1.1421972023293,0.426490914349388,1.4169629144507,0.511978193273993,D,0.61,1.08,1.13,1.34400433776089,0.870243604897276,1.41098420150084,0.895881426891517,1.50262416214008,0.934897977136705,1.94899864950474,1.14146964059128
San Luis Obispo CA,-120.65,35.3,so cal,D,0.4,0.87,0.38,0.502573894991273,0.201349007893607,0.517312303479924,0.20663444246773,0.54110845425218,0.215498585822798,0.674309204449303,0.267445823996287,D,0.4,0.74,0.27,0.410387985086443,0.139396476135093,0.421598441267448,0.14284894420677,0.440040240057204,0.149011143513203,0.544788136732528,0.184570765097457,D,0.4,0.96,0.67,0.641957905151737,0.368795676403127,0.668251690945161,0.379856967085449,0.707425409027791,0.397844542615879,0.915249559954131,0.500002562886584
San Mateo CA,-122.3,37.55,nor cal,E,0.81,1.47,0.77,1.03183411209793,0.450571064005472,1.0533014283746,0.453965235008706,1.09046607202145,0.463585591974927,1.30544166987965,0.533062563939293,E,0.81,1.26,0.54,0.877399788801315,0.312890991855942,0.892523057273997,0.31516340302078,0.920639379942106,0.321700498991131,1.0900000002893,0.369472883595902,E,0.81,1.43,1.53,1.13237884856575,0.763869941841312,1.17203620763108,0.773826353354163,1.23127646642199,0.794973524129421,1.54222039511428,0.932055464330429
San Onofre CA,-117.55,33.4,so cal,D,0.39,0.86,0.37,0.540279960144743,0.214722882835744,0.560404820320282,0.22209612995544,0.590308388657894,0.233373914211645,0.747963736586453,0.294042435427725,D,0.39,0.72,0.26,0.440432414912622,0.149223964855575,0.456112798719406,0.154273644278129,0.479564280120486,0.161983762521413,0.604236632081359,0.203849308933711,D,0.39,0.99,0.65,0.693208692080732,0.39435797153639,0.726236010575602,0.409258250210525,0.773194940827914,0.431423569921213,1.01336102017497,0.549355394604945
Vallejo CA,-122.25,38.1,nor cal,E,0.89,1.6,0.79,1.11204496446851,0.495728128897293,1.14048051054372,0.504764463435335,1.18494229139288,0.520536588239693,1.42189402218115,0.611418708754586,E,0.89,1.4,0.59,0.945074430630769,0.374052765503156,0.966471875375056,0.380717631467652,1.0011599430133,0.392417849347156,1.19035827374363,0.460279934997871,E,0.89,1.45,1.2,1.20399496866072,0.791212351952155,1.24993235048373,0.809136340146147,1.31542405796519,0.838392321203784,1.64289478954474,1.00045724253588
Ventura CA,-119.3,34.3,so cal,E,1.01,1.53,0.9,0.883194764410991,0.439485455681852,0.891802697538253,0.441065341320246,0.912774882776076,0.448536629826096,1.05618183093336,0.509991152917226,E,1.01,1.35,0.67,0.750755005646583,0.329943201860018,0.755458128980528,0.330984366913646,0.770379098111892,0.336436667345315,0.881273247752307,0.381822241805978,E,1.01,1.5,1.4,0.977059970399673,0.705866601651136,1.00073306402645,0.711968437608629,1.04010224552207,0.728140279725067,1.26376320087135,0.84403610728839
Denver CO,-105,39.75,WUS,A,0.044,0.13,0.039,0.0597863012406868,0.0174855943245968,0.0599856969545332,0.0174295484758662,0.0608825711706838,0.0175035703908884,0.0674169670508486,0.0180739724528887,A,0.044,0.11,0.029,0.0512209047590375,0.0127685292726763,0.0513823083090947,0.0127076737500295,0.0521343886730225,0.0127410496948889,0.0575089147432397,0.012838775874173,A,0.044,0.16,0.066,0.0779928161199148,0.0289722412565586,0.0783142770524676,0.0289085908317869,0.0795522456200375,0.0291392568962166,0.0886353178035748,0.0312086038358314
La Junta CO,-103.55,38,WUS,A,0.047,0.12,0.042,0.0363313426513363,0.0146529697463132,0.0365602009091527,0.0146099277867512,0.0371776490436997,0.014673947074063,0.0413472328733393,0.0149762133391615,A,0.047,0.1,0.032,0.0306471557141485,0.0108556693422797,0.0308797481766977,0.0106872490380934,0.0315037139826959,0.0105477657875153,0.0349634949776356,0.0100079230419438,B,0.047,0.13,0.072,0.0484065481430005,0.0251212261419301,0.0487928570491554,0.0250900676634024,0.0497878520920788,0.0253462134111761,0.055773823778752,0.0272872374374057
Paradox CO,-108.95,38.4,WUS,A,0.044,0.13,0.039,0.0590815509775816,0.0207818777790882,0.0596078535140213,0.0209505069675641,0.0608674986350111,0.0212905045966333,0.0687821444502317,0.0233626321685538,A,0.044,0.11,0.029,0.0505367166586358,0.0155141045247245,0.050944428340055,0.0156591119981097,0.0519708697918807,0.015928802648287,0.0583821476862027,0.0169788340827299,B,0.044,0.15,0.07,0.0776546561895459,0.0371488386901313,0.0784972789252311,0.03756567099639,0.0803066576438041,0.0384113065377412,0.0915841886884244,0.0431952954337578
Rangely CO,-108.8,40.1,WUS,B,0.056,0.19,0.05,0.0838129130838118,0.0266076747586546,0.0844666332416126,0.027038233409719,0.0862204764943803,0.0277730973405375,0.0975794879189464,0.0312593399371464,A,0.056,0.17,0.037,0.0723223851993194,0.0198094878257908,0.0727908189031634,0.0200366885811704,0.0740954542009963,0.020428111196377,0.0834774410875782,0.0222901425438168,B,0.056,0.22,0.087,0.107403475833501,0.0476435726496668,0.108506829691448,0.0484195330905837,0.110921753033171,0.0497359013913751,0.126968954185492,0.0573040840784297
Trinidad CO,-104.5,37.2,WUS,A,0.051,0.12,0.046,0.0522978278484407,0.0209064731216192,0.0523504897975881,0.0208625979998875,0.0529901195587015,0.0209759913881143,0.0581381901476553,0.0219519495937457,A,0.051,0.1,0.034,0.0434874972075837,0.0154607840793424,0.0435378430146455,0.0153992130446006,0.0440716884924654,0.0154488462093048,0.0481214356076082,0.0157749515097563,B,0.051,0.15,0.085,0.0724057779664735,0.0378025659094978,0.0724846993491344,0.037690864838231,0.0733598709982678,0.0379736301459063,0.0809620742391676,0.0408418835083286
Hartford CT,-72.7,41.75,CEUS,A,0.048,0.14,0.041,0.0609757836248039,0.0179780425194177,0.0612361217031111,0.0179261831441681,0.062191861190934,0.0180083951938235,0.0691059514328904,0.0186419260191875,A,0.048,0.12,0.032,0.0524939446222985,0.0136676088742446,0.05270333592539,0.0135993780631419,0.0535021435563514,0.0136305608575708,0.0592761058257049,0.0137745738329721,B,0.048,0.17,0.068,0.0786715660122831,0.0287118015017582,0.0790796969185169,0.0286777487015964,0.0804000963857171,0.0289392124895382,0.0898127625297755,0.0310963510062264
Washington DC,-77.05,38.9,CEUS,A,0.042,0.11,0.036,0.0440753881692897,0.0157005311233764,0.0440639411904196,0.0156202636637437,0.0445130935985555,0.0156542325233357,0.0482353368565524,0.0159535899574841,A,0.042,0.092,0.028,0.0377423656512052,0.0118210720051534,0.0377276850521065,0.011703043979053,0.0380733408578318,0.0116281920884886,0.041330772100188,0.0113344023039856,A,0.042,0.13,0.059,0.0572360053538688,0.0251436566983886,0.0572612815231717,0.0250779266093172,0.0579521017719028,0.0253015772513059,0.0635289061088496,0.0271804560858101
Wilmington DE,-75.55,39.75,CEUS,A,0.046,0.16,0.04,0.0526738765668348,0.0168551090333032,0.0523587153718444,0.016792054140662,0.0525840052630041,0.0168508220131095,0.0561512223644938,0.0173057152698854,A,0.046,0.14,0.031,0.0453890432079388,0.012534361819285,0.045119500905422,0.0124748053324023,0.0452940490960961,0.0124852618036264,0.0481486565228134,0.0125000314974051,B,0.046,0.18,0.065,0.0674593912797351,0.0269296093636425,0.0670873954730848,0.0268866921237524,0.0674560278357051,0.0271308256337108,0.0726366244500148,0.0291193471178893
Jacksonville FL,-81.65,30.35,CEUS,A,0.063,0.11,0.056,0.038461174304386,0.0204534079342835,0.0379811768096931,0.0200230220698361,0.0378554166192992,0.0197191719360048,0.0393103393699512,0.0191932002605881,A,0.063,0.095,0.044,0.0331583595707834,0.0161073091755837,0.0326802851521363,0.0156950548583753,0.0325433191842572,0.0153674441366106,0.0336806511285559,0.0144811639612644,B,0.063,0.13,0.09,0.0502527846168238,0.0331365891950779,0.0495759476906861,0.0323276116105542,0.0494404981170967,0.0318959955501672,0.0519765935372296,0.0319076879460088
Miami FL,-80.2,25.75,CEUS,A,0.02,0.034,0.018,0.00878562490440167,0.00312132920430663,0.00815029666984442,0.00263880252266927,0.00747202565038049,0.00218094292936985,0.00519206615746635,0.0010415120185677,A,0.02,0.029,0.014,0.00698643895346236,0.00193912181177358,0.00634005336295251,0.00155180348558755,0.00566446488775402,0.00120206277177965,0.00356847604457091,0.000444409732771209,A,0.02,0.043,0.029,0.0131709492886594,0.00685570167889131,0.0126976775164907,0.00624191502319259,0.0122312281168028,0.00562979267599213,0.0100751535615042,0.00378687033387231
Atlanta GA,-84.4,33.75,CEUS,B,0.093,0.17,0.082,0.0900542510386884,0.0357115067565461,0.0908594093104643,0.0352493297611382,0.0927107487594767,0.0351629402963327,0.105314286235188,0.0368856113522877,A,0.093,0.15,0.064,0.077585610845338,0.0279784002230781,0.0782868262709937,0.0276388742446213,0.079930201992296,0.0275681013387158,0.0905143022060875,0.0286041519091608,B,0.093,0.21,0.13,0.115569986116106,0.0582902846029871,0.116790733061002,0.0575825331350119,0.11939271363181,0.0574646618486883,0.136275150015932,0.0605418120950175
Lincolnton GA,-82.5,33.8,CEUS,B,0.11,0.32,0.094,0.125326655077247,0.0394861600426866,0.1246652944158,0.0389657404249994,0.125351411154354,0.0388015771045693,0.135443622271144,0.0402367579127511,B,0.11,0.3,0.073,0.109473358983298,0.0307565433496833,0.108839015596641,0.030371416708512,0.109349214125072,0.0302458034009293,0.11786704246186,0.0311424076371432,C,0.11,0.33,0.15,0.152181771098089,0.0640691735891685,0.151793157425179,0.0631554885848769,0.153095143208239,0.0628843951735018,0.167186089015563,0.0658050341240811
Savannah GA,-81.1,32.1,CEUS,B,0.12,0.3,0.11,0.0936741002304831,0.0328708630433582,0.0919637466389831,0.0321120517256773,0.0912013477955256,0.0316776053277996,0.0941854115753653,0.0316460513031879,B,0.12,0.28,0.083,0.0816046551427283,0.0258179520406177,0.0800813471709811,0.0251832641027205,0.0793547928866168,0.0247717817395064,0.0817457174384296,0.0244815282272377,C,0.12,0.32,0.17,0.115347945975603,0.0536295800467409,0.113459599329451,0.0523289992603321,0.11275996472643,0.0516055812260544,0.117523997759647,0.0519874724428179
Des Moines IA,-93.6,41.6,CEUS,A,0.059,0.062,0.057,0.0279851620978049,0.0183112450237748,0.0277955964304959,0.0179286756856535,0.0278794699581218,0.017664262073681,0.029295239424098,0.0171564812504059,A,0.059,0.053,0.044,0.0240065767231913,0.0141042503437938,0.0238107815601347,0.0137272992235212,0.0238678172634704,0.0134288744302286,0.0249193989721053,0.0125544953877981,B,0.059,0.093,0.085,0.0393319336436917,0.0295918468410609,0.0389164965444221,0.0289941925444299,0.0389658649494859,0.0286680723632734,0.0418771347418162,0.028985627189372
Boise ID,-116.2,43.6,WUS,B,0.1,0.25,0.097,0.119711248013291,0.0506543019006885,0.120855861963336,0.0515714692200711,0.123566451939164,0.0532435241201791,0.140955809412601,0.0626633304538717,B,0.1,0.2,0.067,0.0949071323729738,0.0350923829301341,0.0957878699772863,0.03584035966157,0.0978670296224756,0.0370602757873321,0.111366226629951,0.0429970495880552,C,0.1,0.33,0.18,0.179523487291594,0.09693142210006,0.182028268881914,0.0989583223474858,0.187276294865785,0.102220190080311,0.218939285306332,0.121083334785818
Idaho National Lab ID,-112.85,43.6,WUS,B,0.11,0.23,0.11,0.133548532022082,0.0666066932728017,0.137436996222335,0.0690963481450585,0.143778584619875,0.0724982440204625,0.178231043563797,0.0914643556905833,B,0.11,0.18,0.074,0.105930588523075,0.0462096488820113,0.1089974926743,0.0479556944753908,0.113930783372372,0.0503448105210993,0.140900828163731,0.0629633838494689,D,0.11,0.33,0.21,0.208681870316865,0.128031524225888,0.216561517121243,0.132886305481388,0.228183076287613,0.140242347133191,0.289437890828092,0.177462103654127
Central IL,-90,40,CEUS,B,0.11,0.19,0.1,0.0832959784912446,0.033041330678657,0.0825756652069208,0.0322325674318714,0.0827993469462941,0.0318256231320895,0.0894374325337386,0.0321353014703012,B,0.11,0.16,0.078,0.0718750234924294,0.0259352447851263,0.071211933702855,0.0252924084629862,0.071379466036421,0.0249090039850495,0.0768338383272941,0.0249081387380343,C,0.11,0.23,0.16,0.106753543049629,0.0541136240498999,0.105963050868347,0.0527517747917119,0.106455464422547,0.052038900810927,0.115682667556777,0.0531281465241732
Chicago IL,-87.65,41.85,CEUS,A,0.07,0.11,0.066,0.045857996148302,0.0221670730092039,0.0455363608735416,0.021803924184979,0.0456870726286641,0.0216079389999254,0.0488069481547535,0.0216705043089319,A,0.07,0.092,0.051,0.039209626024434,0.0177214740357537,0.0389035769647723,0.0173728253554871,0.0390162501379026,0.017140309018436,0.0417867470040044,0.0167077750439734,B,0.07,0.13,0.1,0.0597799873194908,0.0365406051109375,0.0593690322685158,0.0358119349551967,0.0596377828640333,0.0354637532484451,0.0642580583158567,0.0364757379800711
Evansville IN,-87.6,38,CEUS,C,0.2,0.46,0.17,0.201894302034859,0.0587055018811924,0.199400588222331,0.0572601001920946,0.199174765126089,0.0564061601159956,0.21231074523691,0.0573870922291584,C,0.2,0.42,0.13,0.177909247091417,0.0457066974336239,0.175506675549321,0.0445406863733285,0.175098211520707,0.0438474749297875,0.185929465428748,0.0445272323420957,D,0.2,0.48,0.28,0.237675382432473,0.0949619281372901,0.235728946929827,0.0925787124935935,0.236570932052137,0.0912851331297539,0.25624256864837,0.0931548870565846
Indianapolis IN,-86.15,39.8,CEUS,B,0.1,0.17,0.089,0.0780725957052283,0.0321962098647618,0.0777475712192972,0.0317023010187609,0.078358751271022,0.0315014706532022,0.0856747289548673,0.0323911177176536,B,0.1,0.15,0.069,0.0672294731007115,0.0252887380989503,0.0669181276847249,0.0248227746734553,0.0674321969276153,0.0246218999887845,0.0736178082317878,0.0251682966568288,C,0.1,0.21,0.14,0.100042420891888,0.0527095745750624,0.0997779131695461,0.0518383987182451,0.100680680645568,0.0515086037436934,0.110795600577319,0.0536649312434175
Topeka KS,-95.7,39.05,CEUS,A,0.068,0.091,0.064,0.038692051440226,0.0213323704383094,0.038392568252388,0.0209493350317569,0.0384741155071931,0.0207188173095482,0.0410750956096973,0.0205706277245977,A,0.068,0.079,0.05,0.0333642741643919,0.0169225348896738,0.033061093284442,0.016553977306311,0.0331283670049608,0.0162896234401683,0.0350711076419843,0.0156874918618084,B,0.068,0.11,0.097,0.0514476971637766,0.0348701909794359,0.0509753072576617,0.0341032846892875,0.0510974850936873,0.0336981775706167,0.0547810469517821,0.0344177160827433
Wichita KS,-97.35,37.7,CEUS,A,0.061,0.083,0.057,0.0385785350538102,0.0203860764592807,0.0384412803836788,0.0200399270299206,0.0386703396620826,0.019835866077602,0.0417309524798622,0.0196969293896151,A,0.061,0.072,0.044,0.0332520963131969,0.0160489335156646,0.0331047977337897,0.015707716687651,0.03331787546745,0.0154643782411874,0.0356036721496637,0.0148809929819254,B,0.061,0.11,0.086,0.0508119096937205,0.0329584443718273,0.0506344341409382,0.0323105826614196,0.051025059467959,0.0320450993570534,0.0552287998775695,0.0327859402196283
Louisville KY,-85.75,38.25,CEUS,B,0.12,0.21,0.1,0.0982684031181627,0.0388482348985569,0.0979852767954938,0.03818978672858,0.0989248714863937,0.0379255018363905,0.109375774922967,0.0392842646848863,B,0.12,0.19,0.082,0.084797302952961,0.030286199272201,0.0844957174223967,0.0297999942891836,0.0853004612769948,0.0296001304099132,0.0941294752628181,0.0303981457477894,C,0.12,0.25,0.17,0.124921975952145,0.063210108007045,0.124808104471619,0.0621014912547125,0.126284576266512,0.0617001496166358,0.140743687036221,0.064428029150919
New Orleans LA,-90.05,29.95,CEUS,A,0.06,0.077,0.057,0.0335337577213161,0.0194051643422877,0.0331966780312111,0.0190389889130446,0.0332038731753493,0.0188006943375119,0.0348273866243932,0.0184538808783759,A,0.06,0.067,0.045,0.0286687126063734,0.0151247115401491,0.0284120497301333,0.0147640718450998,0.0284030345194144,0.0144902452184639,0.0294339482173256,0.0137448835510946,B,0.06,0.098,0.086,0.0440225608541424,0.0313146929475173,0.0436105628846689,0.0307383389339042,0.0436576134350321,0.0304353375082633,0.0462181603269057,0.0308808425893299
Boston MA,-71.05,42.35,CEUS,B,0.055,0.17,0.047,0.0724450827068204,0.0195442516039148,0.0724935458970444,0.0194756557058767,0.0733098983148362,0.0195524124973835,0.0805281453006396,0.0202906706531634,A,0.055,0.15,0.036,0.0625652358973577,0.0152618351674403,0.0625900860161216,0.0151714237025794,0.0632810612737494,0.0151895826756152,0.0693320937564185,0.0153964604943617,B,0.055,0.2,0.077,0.0922220527309214,0.0311899745514551,0.0923872769883785,0.0311162009492141,0.0935902081769907,0.0313362847121748,0.103368846355884,0.0337703095380445
Baltimore MD,-76.6,39.3,CEUS,A,0.041,0.11,0.035,0.0440827982837489,0.0154124950817523,0.0440455600163748,0.015343326810655,0.0444705567453052,0.0153866768714629,0.0481129376747975,0.0156939921302138,A,0.041,0.095,0.027,0.0377598801024775,0.0116485290140485,0.037724628571188,0.0115240211597835,0.0380509346258702,0.0114405817989397,0.0412391389950508,0.0111154438288469,A,0.041,0.13,0.058,0.0571682329157324,0.024673822089897,0.0571576290721903,0.0246292323052413,0.0578149709540543,0.0248743167453396,0.0633152298711696,0.0267968734182543
Augusta ME,-69.8,44.3,CEUS,B,0.069,0.21,0.059,0.0896916974072968,0.0233215891895497,0.0897434060756219,0.0231615537849581,0.0907849896614617,0.0232785213449175,0.100011371741142,0.0247243325518115,B,0.069,0.19,0.046,0.077633046077492,0.0187353294711239,0.077649051736225,0.0186145957298829,0.0785517796897715,0.0186295118001546,0.0863367111995271,0.0190912334849494,B,0.069,0.24,0.096,0.112912733832678,0.038269960658961,0.113168920630418,0.0380622217506126,0.114745539659145,0.0382592339008355,0.127253265705913,0.0409715253243507
Bangor ME,-68.8,44.8,CEUS,B,0.069,0.21,0.059,0.0872153343013948,0.0229976717345814,0.0870971570163572,0.022797055171528,0.0879686185878694,0.0228691853379954,0.0963762892422046,0.0241568004233921,B,0.069,0.18,0.046,0.0753889769813407,0.018515291922468,0.0752522001117993,0.0183685068651567,0.0760008106456978,0.0183537008397314,0.0831131566255668,0.0186951403078741,B,0.069,0.23,0.097,0.109863586076344,0.037819074384805,0.10989855307118,0.037554475291102,0.11115799215967,0.037691103526337,0.122731654778244,0.0402022955704439
Portland ME,-70.25,43.65,CEUS,B,0.063,0.19,0.054,0.0838381080684196,0.0219318651681661,0.0840538943605668,0.0218565330356251,0.0852820149663192,0.0219508301965624,0.0944199457508342,0.0231651862921084,B,0.063,0.17,0.042,0.0725461597018613,0.0176659659892475,0.0727075233918887,0.0175660621898699,0.073649538615401,0.0175940460876395,0.0814200672804102,0.0180168258193055,B,0.063,0.22,0.088,0.106463468624138,0.0359333137080345,0.106891392966377,0.0357847634245656,0.108526871812004,0.036044736911692,0.120816860089515,0.0388994043584924
Detroit MI,-83.05,42.35,CEUS,A,0.049,0.075,0.046,0.033663808642156,0.0181031755264369,0.0337028626207086,0.0179281239599884,0.0341164228414026,0.0178838321184062,0.0370666282054852,0.0181175539447645,A,0.049,0.065,0.036,0.028750357877329,0.0138476606645097,0.028774023287528,0.0136546970747982,0.0290627546720308,0.0135568012900601,0.0314357271644339,0.0133231974172236,B,0.049,0.094,0.07,0.0442262260781961,0.029096477724913,0.0443027645973526,0.0288489428269654,0.0448620968117549,0.0288937135575089,0.0492342930757436,0.0304230620716366
Minneapolis MN,-93.3,45,CEUS,A,0.034,0.037,0.035,0.0155360136344756,0.00962131599258466,0.0153286670264571,0.00912837772453475,0.015175003709435,0.00863513201916589,0.0146106004172242,0.00697023305011501,A,0.034,0.032,0.027,0.0129878267879362,0.00700569189477973,0.0127611186190456,0.00645129761192061,0.0125596727209107,0.0058953267482297,0.0116542803418499,0.00416673996942097,A,0.034,0.051,0.053,0.0214415981197743,0.0167681295523654,0.0211757860188223,0.016372035805839,0.0211301101147396,0.0160718264545811,0.0216271194890588,0.0153174387733547
Cape Girardeau MO,-89.5,37.3,CEUS,D,0.41,0.95,0.35,0.363389399225131,0.0969768559896597,0.354589249614409,0.0932380718337941,0.350090904279348,0.0905684969909657,0.362006490077539,0.0884223256537554,D,0.41,0.9,0.27,0.330165545462758,0.0754464779305625,0.321455348818671,0.0725116895980516,0.316564788630525,0.0704750860214562,0.324704213341399,0.0687771911251623,D,0.41,0.83,0.55,0.38221583574737,0.1547510116407,0.376477954660023,0.148977358068772,0.375507561575997,0.144796730396225,0.400991746313284,0.14182209564238
